"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType"
"2315","1754483719238","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2327","0.0-0.0","195","1","2025-08-06 12:35:10","36c45c0696341be0efffe67d72a12abb","175.176.10.44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","6877649eabb845cf142cd221","68934bbbdd099c9aafb4d6a7","1","65f0831414fd6e9e51e08708","1","2025-08-06T12:35:19.247Z","","","",""
"1684","","","","fullscreen","1","5025","0.0-1.0","195","1","2025-08-06 12:35:10","36c45c0696341be0efffe67d72a12abb","175.176.10.44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","6877649eabb845cf142cd221","68934bbbdd099c9aafb4d6a7","1","65f0831414fd6e9e51e08708","1","","true","","",""
"3824","1754483725769"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8853","0.0-2.0","195","1","2025-08-06 12:35:10","36c45c0696341be0efffe67d72a12abb","175.176.10.44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","6877649eabb845cf142cd221","68934bbbdd099c9aafb4d6a7","1","65f0831414fd6e9e51e08708","1","2025-08-06T12:35:25.772Z","","","",""
"3892","","","{""assigned_sex"":""female""}","survey-multi-choice","3","12757","0.0-3.0-0.0","195","1","2025-08-06 12:35:10","36c45c0696341be0efffe67d72a12abb","175.176.10.44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","6877649eabb845cf142cd221","68934bbbdd099c9aafb4d6a7","1","65f0831414fd6e9e51e08708","1","","","[0]","0","demographics"
"961","1754483730639","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","13722","0.0-4.0-0.0","195","1","2025-08-06 12:35:10","36c45c0696341be0efffe67d72a12abb","175.176.10.44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","6877649eabb845cf142cd221","68934bbbdd099c9aafb4d6a7","1","65f0831414fd6e9e51e08708","1","2025-08-06T12:35:30.641Z","","","",""
