"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start"
"33480","1754484664752","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","33486","0.0-0.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:51:04.757Z","","","","","","","","","","","","","","",""
"1677","","","","fullscreen","1","36180","0.0-1.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","","true","","","","","","","","","","","","","",""
"6450","1754484673902"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","42633","0.0-2.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:51:13.903Z","","","","","","","","","","","","","","",""
"48735","","","{""assigned_sex"":""female""}","survey-multi-choice","3","91373","0.0-3.0-0.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","","","[0]","0","demographics","","","","","","","","","","",""
"2224","1754484724869","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","93600","0.0-4.0-0.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:52:04.870Z","","","","","","","","","","","","","","",""
"44082.300000071526","","","","survey-template","5","137690","0.0-4.0-1.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:52:48.960Z","","","","pss","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""0"",""Q05"":""0"",""Q06"":""4"",""Q07"":""0"",""Q08"":""0"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[4798.300000071526,6358.899999976158,8290.899999976158,11330,12640.700000047684,13846.800000071526,14940.800000071526,16095.700000047684,41747.60000002384,42875]","[]","[19.700000047683716,3374.399999976158,4798.300000071526,6358.899999976158,8290.899999976158,11330,12640.700000047684,13846.800000071526,14940.800000071526,16095.700000047684,16980,41747.60000002384,42875,44075]","1","0","0","",""
"38041","1754484807002","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","175732","0.0-4.0-2.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:53:27.003Z","","","","","","","","","","","","","","",""
"120355.79999995232","","","","survey-template","7","296093","0.0-4.0-3.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:55:27.363Z","","","","drsp","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5"",""Q07"":""5"",""Q08"":""5"",""Q09"":""5"",""Q10"":""5"",""Q11"":""5"",""Q12"":""5"",""Q13"":""5"",""Q14"":""5"",""Q15"":""5"",""Q16"":""5"",""Q17"":""5"",""Q18"":""5"",""Q19"":""5"",""Q20"":""5"",""Q21"":""5"",""Q22"":""5""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q22"",""Q21"",""Q13"",""Q12"",""Q11"",""Q11""]","[4346.199999928474,5910.899999976158,9097.5,10480.199999928474,11743.899999976158,17751.5,19067,20131.799999952316,21212.099999904633,22524.899999976158,78278.89999997616,79464.59999990463,80496.79999995232,83396.29999995232,84601.19999992847,85930.29999995232,87335.69999992847,90966.5,92209.5,96102.29999995232,98712.29999995232,99967.69999992847,100275]","[]","[19.299999952316284,2943.5999999046326,4346.199999928474,5910.899999976158,9097.5,10480.199999928474,11743.899999976158,16715.199999928474,17751.5,19067,20131.799999952316,21212.099999904633,22524.899999976158,23418.799999952316,29245.5,49844.699999928474,55513.09999990463,57817.39999997616,78278.89999997616,79464.59999990463,80496.79999995232,81630,83396.29999995232,84601.19999992847,85930.29999995232,87335.69999992847,88595.69999992847,89728,90966.5,92209.5,93183.09999990463,96102.29999995232,98712.29999995232,99967.69999992847,100275,113952.59999990463,115233.39999997616,120350.39999997616]","1","0","0","",""
"11659.300000071526","","","","survey-template","8","307754","0.0-4.0-4.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","2025-08-06T12:55:39.025Z","","","","stress","{""Q01"":""5"",""Q02"":""0"",""Q03"":""5""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4103.200000047684,8705.700000047684,9937.700000047684]","[]","[4103.200000047684,5223.600000023842,6121.300000071526,7438.900000095367,8705.700000047684,9937.700000047684,11655.100000023842]","1","0","0","",""
"4416","","","","instructions","9","312172","0.0-5.0-0.0","198","1","2025-08-06 12:50:23","36c45c0696341be0efffe67d72a12abb","41.13.21.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","675ee689e18bf69c5cb1b944","687a1a965b9f5b85a264363e","68933eccbee9711e63a84ebc","1","675ee689e18bf69c5cb1b944","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4416}]",""
