"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success"
"10989","1753266697504","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","10995","0.0-0.0","208","1","2025-07-23 10:31:25","1f75c3e559b7213887762d5229550c2b","102.221.201.12","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","683db9eb0562dbf637994deb","6880b9df2ba19161174ebb57","2","1","606e3cce02e2e8a8c965ca75","2","1","2025-07-23T10:31:37.506Z",""
"7366","","","","fullscreen","1","19374","0.0-1.0","208","1","2025-07-23 10:31:25","1f75c3e559b7213887762d5229550c2b","102.221.201.12","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","683db9eb0562dbf637994deb","6880b9df2ba19161174ebb57","2","1","606e3cce02e2e8a8c965ca75","2","1","","true"
