"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"4046","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","90","html-slider-response","10","533187","0.0-5.0-1.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:47:19.396Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6861","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","76","html-slider-response","11","540052","0.0-5.0-2.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:47:26.262Z","","","","","","","","","","","ControlQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2156","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","39","html-slider-response","12","542213","0.0-5.0-3.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:47:28.422Z","","","","","","","","","","","StressQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1808","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","81","html-slider-response","13","544026","0.0-5.0-4.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:47:30.235Z","","","","","","","","","","","MotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","14","603531","0.0-5.0-0.1","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:48:29.740Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","0.9","2","0","549318.4","18278.2","23319.8","56481.9","1","4","8","6","2","8","8","8","0","0.06060606060606061","2799.7","3000","810","[""up"",""right""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":0,""num_randdir"":1,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":7}","[302.6474722019504,315.21935892811547,0.7,302.6474722019504,315.21935892811547,114.2,302.6474722019504,315.21935892811547,220,302.6474722019504,315.21935892811547,352.6,302.6474722019504,315.21935892811547,470.2,302.6474722019504,315.21935892811547,571.5,302.6474722019504,315.21935892811547,702.3,302.6474722019504,315.21935892811547,802.6,302.6474722019504,315.21935892811547,905.2,302.6474722019504,315.21935892811547,1080.5,302.6474722019504,315.21935892811547,1189.5,302.6474722019504,315.21935892811547,1322.9,302.6474722019504,315.21935892811547,1426.2,302.6474722019504,315.21935892811547,1532.9,302.6474722019504,315.21935892811547,1640.3,302.6474722019504,315.21935892811547,1769.9,302.6474722019504,315.21935892811547,1874.8,302.6474722019504,315.21935892811547,1980.2,302.6474722019504,315.21935892811547,2083.2,302.6474722019504,315.21935892811547,2223.8,302.6474722019504,315.21935892811547,2328.8,302.6474722019504,315.21935892811547,2434,302.6474722019504,315.21935892811547,2561.2,302.6474722019504,315.21935892811547,2661.7,586.2037374368975,78.25684619656334,2809.4,586.2037374368975,78.25684619656334,2972.9,586.2037374368975,78.25684619656334,3158.4,586.2037374368975,78.25684619656334,3262.3,586.2037374368975,78.25684619656334,3408.3,586.2037374368975,78.25684619656334,3568.6,586.2037374368975,78.25684619656334,3717,586.2037374368975,78.25684619656334,3825.7,586.2037374368975,78.25684619656334,3933.9,586.2037374368975,78.25684619656334,4037.1,586.2037374368975,78.25684619656334,4174.4,586.2037374368975,78.25684619656334,4278,586.2037374368975,78.25684619656334,4472.2,586.2037374368975,78.25684619656334,4588.2,586.2037374368975,78.25684619656334,4696.6,586.2037374368975,78.25684619656334,4801.8,586.2037374368975,78.25684619656334,4903.8]","[2030.3,2030.2,1000,0.1,1030.2,""smooth"",""right"",""right"",""good_move"",6221.4,4190,2950.6,2031.4,1239.4,""smooth"",""right"",""right"",""good_move"",9502,3279.8,2353.3,6222.4,926.4,""oops"",""right"",""left"",""bad_move"",16273.3,6770,2148.9,13170.1,954.3,""smooth"",""up"",""up"",""good_move"",23003.2,6728.6,1754.4,20627.5,621.3,""smooth"",""up"",""up"",""good_move"",26687.2,3683.2,2997.3,23004.1,685.9,""smooth"",""up"",""up"",""good_move"",29738,3048.9,1942.7,26689.1,1106.2,""smooth"",""right"",""right"",""good_move"",32920.4,3180.2,2256.3,29740.3,923.8,""smooth"",""right"",""right"",""good_move""]"
"2701","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","91","html-slider-response","15","606240","0.0-5.0-1.1","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:48:32.449Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1809","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","91","html-slider-response","16","608055","0.0-5.0-2.1","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:48:34.264Z","","","","","","","","","","","ControlQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2644","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","24","html-slider-response","17","610705","0.0-5.0-3.1","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:48:36.915Z","","","","","","","","","","","StressQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1744","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","88","html-slider-response","18","612453","0.0-5.0-4.1","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:48:38.662Z","","","","","","","","","","","MotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","19","690974","0.0-5.0-0.2","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:49:57.184Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","0.8","3","0","617744.9","14769.1","19772.4","75422.5","1","4","8","6","2","8","8","16","8","0.12121212121212122","3192.4","3000","1620","[""left"",""up""]","{""num_key_presses"":10,""num_perfect"":8,""num_errors"":0,""num_randdir"":2,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":8}","[510.6124309006108,520.5218149445667,1.1,510.6124309006108,520.5218149445667,311.6,510.6124309006108,520.5218149445667,546.4,510.6124309006108,520.5218149445667,817.7,510.6124309006108,520.5218149445667,1109.7,510.6124309006108,520.5218149445667,1311.4,510.6124309006108,520.5218149445667,1583.8,510.6124309006108,520.5218149445667,1690.4,510.6124309006108,520.5218149445667,1978.1,510.6124309006108,520.5218149445667,2246,510.6124309006108,520.5218149445667,2347.4,510.6124309006108,520.5218149445667,2662.9,510.6124309006108,520.5218149445667,2770.7,96.25616647007483,90.52804184180637,3202.3,96.25616647007483,90.52804184180637,3313.9,96.25616647007483,90.52804184180637,3622.5,96.25616647007483,90.52804184180637,3897.8,96.25616647007483,90.52804184180637,4213.4,96.25616647007483,90.52804184180637,4322.8,96.25616647007483,90.52804184180637,4691.3]","[2319.6,2319.5,1000,0.2,1319.4,""smooth"",""left"",""left"",""good_move"",9008.6,6687.9,2679.3,2320.8,4008.6,""smooth"",""left"",""left"",""good_move"",15921.6,6911.6,2470.1,9010.2,4441.5,""smooth"",""left"",""left"",""good_move"",22280.1,6357.1,2566.4,15923,3790.7,""oops"",""up"",""down"",""bad_move"",25836.4,3553.5,2246.7,22283.1,1306.8,""smooth"",""up"",""up"",""good_move"",32166.2,6327.9,1620.9,25838.4,4707,""smooth"",""up"",""up"",""good_move"",38559.5,6392.5,2705.5,32167,3687,""smooth"",""up"",""up"",""good_move"",44999.2,6439.1,1653.9,38560.2,4785.2,""oops"",""up"",""down"",""bad_move"",48348.4,3348,2184.1,45000.5,1163.8,""smooth"",""up"",""up"",""good_move"",55152.7,6802.9,1994.1,48349.9,4808.8,""smooth"",""up"",""up"",""good_move""]"
