"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success"
"11717","1752654611729","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","11719","0.0-0.0","65","1","2025-07-16 08:29:58","1f75c3e559b7213887762d5229550c2b","102.223.59.236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61099a311cb3f711346d1b05","68764874ac79eee8c1d4cb03","687762e68f670b05cb325013","2","0","61099a311cb3f711346d1b05","2","0","2025-07-16T08:30:11.729Z",""
"862","","","","fullscreen","1","13585","0.0-1.0","65","1","2025-07-16 08:29:58","1f75c3e559b7213887762d5229550c2b","102.223.59.236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61099a311cb3f711346d1b05","68764874ac79eee8c1d4cb03","687762e68f670b05cb325013","2","0","61099a311cb3f711346d1b05","2","0","","true"
"2284","1752654615880","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","15870","0.0-2.0-0.0","65","1","2025-07-16 08:29:58","1f75c3e559b7213887762d5229550c2b","102.223.59.236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61099a311cb3f711346d1b05","68764874ac79eee8c1d4cb03","687762e68f670b05cb325013","2","0","61099a311cb3f711346d1b05","2","0","2025-07-16T08:30:15.880Z",""
