"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"","","","","ctl-task-cpt","74","1047268","0.0-5.0-0.13","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:49:59.044Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","0.8","14","0","1014605.1","1791.5","6800.7","31151.1","1","4","4","6","1","1","1","19","18","0.14393939393939395","3231","3000","2065","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":4,""num_errors"":0,""num_randdir"":2,""num_randdir_good_moves"":1,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":5}","[416.5714133126395,417.82142761775424,0.4,416.5714133126395,417.82142761775424,104.6,416.5714133126395,417.82142761775424,215.4,416.5714133126395,417.82142761775424,317.5,416.5714133126395,417.82142761775424,423.2,416.5714133126395,417.82142761775424,530.8,416.5714133126395,417.82142761775424,633.9,416.5714133126395,417.82142761775424,743.1,416.5714133126395,417.82142761775424,863.7,416.5714133126395,417.82142761775424,969.6,416.5714133126395,417.82142761775424,1077.1,416.5714133126395,417.82142761775424,1183.4,416.5714133126395,417.82142761775424,1284.4,504.0714133126395,252.82142761775424,1393,726.5714133126395,121.57142761775425,1502.5,780.3214133126395,70.32142761775425,1608.9,776.5714133126395,62.82142761775425,1715.9,569.0714133126395,199.07142761775424,1816.3,169.0714133126395,619.0714276177542,1917.7,109.0714133126395,694.0714276177542,2024.3,109.0714133126395,694.0714276177542,2134.5,109.0714133126395,694.0714276177542,2243.1,-4.678586687360493,746.5714276177542,2346.9,-83.4285866873605,805.3214276177542,2456.8,-93.4285866873605,816.5714276177542,2566.1,30.321413312639507,771.5714276177542,2677.7,39.07141331263951,764.0714276177542,2782.7,54.07141331263951,757.8214276177542,2886.1,54.07141331263951,757.8214276177542,3004,54.07141331263951,757.8214276177542,3108.1,54.07141331263951,757.8214276177542,3215.9,54.07141331263951,757.8214276177542,3318.6,54.07141331263951,757.8214276177542,3422.8,54.07141331263951,757.8214276177542,3536.5,54.07141331263951,757.8214276177542,3644.6,54.07141331263951,757.8214276177542,3747.4,54.07141331263951,757.8214276177542,3857.4,54.07141331263951,757.8214276177542,3967.9,54.07141331263951,757.8214276177542,4069.2,54.07141331263951,757.8214276177542,4174.8,54.07141331263951,757.8214276177542,4280.5,54.07141331263951,757.8214276177542,4387.4,54.07141331263951,757.8214276177542,4501.4,54.07141331263951,757.8214276177542,4612.8,54.07141331263951,757.8214276177542,4715.5,54.07141331263951,757.8214276177542,4819.9,54.07141331263951,757.8214276177542,4923]","[1401.5,1401.5,1000,0,401.5,""smooth"",""left"",""left"",""good_move"",4102.6,2700.2,2352.8,1402.5,347.3,""oops"",""left"",""left"",""good_move"",6763.1,2660.3,2263.3,4102.8,397,""smooth"",""down"",""down"",""good_move"",9898,3134.4,2805.7,6763.6,328.7,""oops"",""down"",""up"",""bad_move"",16647.5,6748.7,2678.6,13592.7,376.2,""smooth"",""down"",""down"",""good_move"",24037,7389,2954.3,20776.5,306.2,""smooth"",""down"",""down"",""good_move""]","",""
"5354","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","39","html-slider-response","75","1052623","0.0-5.0-1.13","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:04.400Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4643","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","59","html-slider-response","76","1057268","0.0-5.0-2.13","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:09.044Z","","","","","","","","","","","ControlQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4385","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","50","html-slider-response","77","1061654","0.0-5.0-3.13","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:13.430Z","","","","","","","","","","","StressQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2813","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","58","html-slider-response","78","1064468","0.0-5.0-4.13","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:16.245Z","","","","","","","","","","","MotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","79","1087601","0.0-5.0-0.14","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:39.378Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","0.9","15","0","1065976.6","2186.2","7193.9","20105.7","1","4","8","6","1","1","1","20","19","0.15151515151515152","2132.5","3000","2300","[""down"",""right""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[419.0714133126395,416.57142761775424,0.5,419.0714133126395,416.57142761775424,110.6,419.0714133126395,416.57142761775424,219.5,419.0714133126395,416.57142761775424,331.5,419.0714133126395,416.57142761775424,446.2,419.0714133126395,416.57142761775424,564.5,419.0714133126395,416.57142761775424,666.5,419.0714133126395,416.57142761775424,784.3,491.5714133126395,442.82142761775424,901.6,544.0714133126395,494.07142761775424,1003,546.5714133126395,544.0714276177542,1106.2,572.8214133126395,591.5714276177542,1207.1,572.8214133126395,591.5714276177542,1314,572.8214133126395,591.5714276177542,1414.6,660.3214133126395,671.5714276177542,1517.2,739.0714133126395,740.3214276177542,1625.8,760.3214133126395,759.0714276177542,1731.9,762.8214133126395,760.3214276177542,1834.3,762.8214133126395,760.3214276177542,1939.7,762.8214133126395,760.3214276177542,2047.6,762.8214133126395,760.3214276177542,2150.3,762.8214133126395,760.3214276177542,2261.3,762.8214133126395,760.3214276177542,2376.2,762.8214133126395,760.3214276177542,2482.1,762.8214133126395,760.3214276177542,2589.1,762.8214133126395,760.3214276177542,2695.8,762.8214133126395,760.3214276177542,2795.9,762.8214133126395,760.3214276177542,2898.3,762.8214133126395,760.3214276177542,3003,762.8214133126395,760.3214276177542,3104.6,762.8214133126395,760.3214276177542,3213.1,762.8214133126395,760.3214276177542,3316.1,762.8214133126395,760.3214276177542,3424.5,762.8214133126395,760.3214276177542,3532.3,762.8214133126395,760.3214276177542,3634.6,762.8214133126395,760.3214276177542,3738.8,762.8214133126395,760.3214276177542,3840.6,762.8214133126395,760.3214276177542,3951.4,762.8214133126395,760.3214276177542,4055.7,762.8214133126395,760.3214276177542,4168.6,762.8214133126395,760.3214276177542,4273,762.8214133126395,760.3214276177542,4377.6,762.8214133126395,760.3214276177542,4480.1,762.8214133126395,760.3214276177542,4580.5,762.8214133126395,760.3214276177542,4685.7,762.8214133126395,760.3214276177542,4792.9,762.8214133126395,760.3214276177542,4895.5]","[1454.4,1454.4,1000,0,454.4,""smooth"",""down"",""down"",""good_move"",4756.6,3301.5,2924.1,1455.1,377.5,""smooth"",""down"",""down"",""good_move"",7161.8,2404.8,1991.7,4757,413.1,""smooth"",""down"",""right"",""good_move"",12696.1,5533.9,2502.4,9830,363.7,""smooth"",""right"",""right"",""good_move""]","",""
"6452","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","39","html-slider-response","80","1094055","0.0-5.0-1.14","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:45.831Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5772","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","63","html-slider-response","81","1099830","0.0-5.0-2.14","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:51.606Z","","","","","","","","","","","ControlQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3577","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","50","html-slider-response","82","1103409","0.0-5.0-3.14","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:55.185Z","","","","","","","","","","","StressQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2878","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","57","html-slider-response","83","1106290","0.0-5.0-4.14","132","1","2025-07-18 13:32:30","1f75c3e559b7213887762d5229550c2b","86.12.64.131","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","674766f8e0307c4de164f7d6","683db7602f5db6a34d12d064","687a4ce2eade86a73dd5853d","1","674766f8e0307c4de164f7d6","1","","2025-07-18T13:50:58.066Z","","","","","","","","","","","MotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
