"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"13771","1751501596560","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","13780","0.0-0.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:13:16.566Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7712","","","","instructions","1","21499","0.0-1.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","[{""page_index"":0,""viewing_time"":5693},{""page_index"":1,""viewing_time"":2015}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3201","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","24723","0.0-2.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1866","","","","fullscreen","3","27600","0.0-4.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3176","1751501613565"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","30784","0.0-5.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:13:33.570Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4125","","","{""age"":""31""}","survey-text","5","34932","0.0-6.0-0.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3726","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","38667","0.0-6.0-1.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2833","","","{""assigned_sex"":""male""}","survey-multi-choice","7","41508","0.0-6.0-2.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4365","","","{""menstrual_cycle"":""No""}","survey-multi-choice","8","45887","0.0-6.0-3.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3546","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","49447","0.0-6.0-4.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3924","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","10","53382","0.0-6.0-5.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:13:56.168Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30722","","","{""mental_health_condition"":""No"",""mental_health_treatment"":""No"",""psychiatric_medication"":""I'm not taking any.""}","survey-text","11","84118","0.0-7.0-0.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:14:26.904Z","","","","","1","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7569","","","{""depression_history"":[""Yes""]}","survey-multi-select","12","91712","0.0-7.0-1.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","","","[0]","","","","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3428","","","{""depression_episodes"":""1-2"",""depression_recent"":""Within the past year""}","survey-multi-choice","13","95154","0.0-7.0-2.0-0.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:14:37.939Z","","[0,1]","","","3","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132744.90000000037","","","","survey-template","14","227928","0.0-7.0-3.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:16:50.713Z","","","","","","ius","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0"",""Q04"":""2"",""Q05"":""3"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1"",""Q11"":""1"",""Q12"":""3"",""Q13"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q07"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q13""]","[21091.900000000373,54082.800000000745,57431.09999999963,64619.90000000037,84210.5,88019.90000000037,93154.09999999963,96929.69999999925,99128,103899.90000000037,107721.59999999963,114736.59999999963,120988.59999999963,127402.59999999963,130804.90000000037]","[]","[21091.900000000373,46245.300000000745,54082.800000000745,57431.09999999963,64619.90000000037,84210.5,88019.90000000037,93154.09999999963,96929.69999999925,99128,103899.90000000037,107721.59999999963,114736.59999999963,120988.59999999963,127402.59999999963,130804.90000000037,132718.59999999963]","0.38461538461538464","0.25","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3499","1751501814216","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","15","231435","0.0-7.0-4.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:16:54.221Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138585.90000000037","","","","survey-template","16","370044","0.0-7.0-5.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T00:19:12.830Z","","","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""1"",""Q09"":""2"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q09"",""Q10""]","[74183.40000000037,82430.20000000112,87707.90000000037,92962.90000000037,100419.10000000149,105900.80000000075,111499.60000000149,121242.70000000112,130111,132203.1000000015,137338.80000000075]","[]","[0.2000000011175871,26732.300000000745,53973.20000000112,74183.40000000037,82430.20000000112,87707.90000000037,92962.90000000037,100419.10000000149,105900.80000000075,111499.60000000149,121242.70000000112,130111,132203.1000000015,137338.80000000075,138566]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3716663","1751505988452","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","17","4405676","0.0-7.0-6.0","256","1","2025-07-02 20:50:51","80fe4187154257d5fb01684ea91b68b9","41.13.114.97","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,zh-CN;q=0.7,zh;q=0.6","60e343946a7faddde88fbe3c","683db6dfa200031b80f2a654","686507533c1f1acf9d0bb636","60e343946a7faddde88fbe3c","2025-07-03T01:26:28.464Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
