"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"7810","1751454770105","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","7811","0.0-0.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","2025-07-02T11:12:50.106Z","","","","","",""
"28812","","","","instructions","1","36624","0.0-1.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","","[{""page_index"":0,""viewing_time"":17574},{""page_index"":1,""viewing_time"":11238}]","","","","",""
"27112","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","63738","0.0-2.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","","","[0,1,2,3,4,5,6]","true","","",""
"65935","","","","fullscreen","3","130686","0.0-4.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","","","","","true","",""
"7928","1751454900910"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","138615","0.0-5.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","2025-07-02T11:15:00.910Z","","","","","",""
"4873","","","{""age"":""24""}","survey-text","5","143491","0.0-6.0-0.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","","","","","","0","demographics"
"3479","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","146970","0.0-6.0-1.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","","","[0]","","","1","demographics"
"2035","","","{""assigned_sex"":""male""}","survey-multi-choice","7","149006","0.0-6.0-2.0","228","1","2025-07-02 11:12:41","80fe4187154257d5fb01684ea91b68b9","85.73.245.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 OPR/119.0.0.0","WebKit","Opera","119.0.0.0","Windows","10.0","https://app.prolific.com/","el,en;q=0.9","64db7c7415584f3d37c938d0","683db6dfa200031b80f2a654","6865078cb7a9694bcd13b70d","64db7c7415584f3d37c938d0","","","[0]","","","2","demographics"
