"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"32075","1751451529719","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","32078","0.0-0.0","3","1","2025-07-02 10:18:14","80fe4187154257d5fb01684ea91b68b9","136.228.244.78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","64401708880c30ec28b9aef4","683db6dfa200031b80f2a654","68650752be2189c30897dd0d","64401708880c30ec28b9aef4","2025-07-02T10:18:49.721Z","","","","","",""
"2726","","","","instructions","1","34806","0.0-1.0","3","1","2025-07-02 10:18:14","80fe4187154257d5fb01684ea91b68b9","136.228.244.78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","64401708880c30ec28b9aef4","683db6dfa200031b80f2a654","68650752be2189c30897dd0d","64401708880c30ec28b9aef4","","[{""page_index"":0,""viewing_time"":2166},{""page_index"":1,""viewing_time"":559}]","","","","",""
"2798","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","37606","0.0-2.0","3","1","2025-07-02 10:18:14","80fe4187154257d5fb01684ea91b68b9","136.228.244.78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","64401708880c30ec28b9aef4","683db6dfa200031b80f2a654","68650752be2189c30897dd0d","64401708880c30ec28b9aef4","","","[0,1,2,3,4,5,6]","true","","",""
"3967","","","","fullscreen","3","42580","0.0-4.0","3","1","2025-07-02 10:18:14","80fe4187154257d5fb01684ea91b68b9","136.228.244.78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","64401708880c30ec28b9aef4","683db6dfa200031b80f2a654","68650752be2189c30897dd0d","64401708880c30ec28b9aef4","","","","","true","",""
"1809","1751451542032"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","44391","0.0-5.0","3","1","2025-07-02 10:18:14","80fe4187154257d5fb01684ea91b68b9","136.228.244.78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","64401708880c30ec28b9aef4","683db6dfa200031b80f2a654","68650752be2189c30897dd0d","64401708880c30ec28b9aef4","2025-07-02T10:19:02.033Z","","","","","",""
"2815","","","{""age"":""7""}","survey-text","5","47208","0.0-6.0-0.0","3","1","2025-07-02 10:18:14","80fe4187154257d5fb01684ea91b68b9","136.228.244.78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","64401708880c30ec28b9aef4","683db6dfa200031b80f2a654","68650752be2189c30897dd0d","64401708880c30ec28b9aef4","","","","","","0","demographics"
