"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success"
"7708","1752055260214","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","7717","0.0-0.0","59","1","2025-07-09 09:07:17","7701e855f2ef39aa3fd6c71abdc6918a","81.140.212.210","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.3351.66","WebKit","Edge","138.0.3351.66","Linux","","https://app.prolific.com/","en-US,en;q=0.9","67c0c81d7a68441d6be8e944","686d226cabeef709c732f8e1","686e312e1332eaada860bb19","67c0c81d7a68441d6be8e944","2025-07-09T10:01:00.218Z","","","",""
"3227","","","","instructions","1","10949","0.0-1.0","59","1","2025-07-09 09:07:17","7701e855f2ef39aa3fd6c71abdc6918a","81.140.212.210","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.3351.66","WebKit","Edge","138.0.3351.66","Linux","","https://app.prolific.com/","en-US,en;q=0.9","67c0c81d7a68441d6be8e944","686d226cabeef709c732f8e1","686e312e1332eaada860bb19","67c0c81d7a68441d6be8e944","","[{""page_index"":0,""viewing_time"":2750},{""page_index"":1,""viewing_time"":475}]","","",""
"2238","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","13196","0.0-2.0","59","1","2025-07-09 09:07:17","7701e855f2ef39aa3fd6c71abdc6918a","81.140.212.210","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.3351.66","WebKit","Edge","138.0.3351.66","Linux","","https://app.prolific.com/","en-US,en;q=0.9","67c0c81d7a68441d6be8e944","686d226cabeef709c732f8e1","686e312e1332eaada860bb19","67c0c81d7a68441d6be8e944","","","[0,1,2,3,4,5,6]","true",""
"1256","","","","fullscreen","3","15461","0.0-4.0","59","1","2025-07-09 09:07:17","7701e855f2ef39aa3fd6c71abdc6918a","81.140.212.210","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.3351.66","WebKit","Edge","138.0.3351.66","Linux","","https://app.prolific.com/","en-US,en;q=0.9","67c0c81d7a68441d6be8e944","686d226cabeef709c732f8e1","686e312e1332eaada860bb19","67c0c81d7a68441d6be8e944","","","","","true"
"2049","1752055270012"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","17514","0.0-5.0","59","1","2025-07-09 09:07:17","7701e855f2ef39aa3fd6c71abdc6918a","81.140.212.210","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.3351.66","WebKit","Edge","138.0.3351.66","Linux","","https://app.prolific.com/","en-US,en;q=0.9","67c0c81d7a68441d6be8e944","686d226cabeef709c732f8e1","686e312e1332eaada860bb19","67c0c81d7a68441d6be8e944","2025-07-09T10:01:10.015Z","","","",""
