"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success"
"8918","1751451969400","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","8923","0.0-0.0","188","1","2025-07-02 10:25:59","80fe4187154257d5fb01684ea91b68b9","37.163.248.206","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36","WebKit","Chrome","137.0.0.0","AndroidOS","10","https://app.prolific.com/","en-US,en;q=0.9,it;q=0.8","5e8df909e9fe6208d93321a9","683db6dfa200031b80f2a654","6865076cca0921457d76fc45","5e8df909e9fe6208d93321a9","2025-07-02T10:26:09.403Z","","","",""
"4183","","","","instructions","1","13108","0.0-1.0","188","1","2025-07-02 10:25:59","80fe4187154257d5fb01684ea91b68b9","37.163.248.206","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36","WebKit","Chrome","137.0.0.0","AndroidOS","10","https://app.prolific.com/","en-US,en;q=0.9,it;q=0.8","5e8df909e9fe6208d93321a9","683db6dfa200031b80f2a654","6865076cca0921457d76fc45","5e8df909e9fe6208d93321a9","","[{""page_index"":0,""viewing_time"":3132},{""page_index"":1,""viewing_time"":1050}]","","",""
"4227","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","17342","0.0-2.0","188","1","2025-07-02 10:25:59","80fe4187154257d5fb01684ea91b68b9","37.163.248.206","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36","WebKit","Chrome","137.0.0.0","AndroidOS","10","https://app.prolific.com/","en-US,en;q=0.9,it;q=0.8","5e8df909e9fe6208d93321a9","683db6dfa200031b80f2a654","6865076cca0921457d76fc45","5e8df909e9fe6208d93321a9","","","[0,1,2,3,4,5,6]","true",""
"5699","","","","fullscreen","3","24049","0.0-4.0","188","1","2025-07-02 10:25:59","80fe4187154257d5fb01684ea91b68b9","37.163.248.206","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36","WebKit","Chrome","137.0.0.0","AndroidOS","10","https://app.prolific.com/","en-US,en;q=0.9,it;q=0.8","5e8df909e9fe6208d93321a9","683db6dfa200031b80f2a654","6865076cca0921457d76fc45","5e8df909e9fe6208d93321a9","","","","","true"
