"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent"
"20027","1752052140710","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","20050","0.0-0.0","84","1","2025-07-09 09:07:38","7701e855f2ef39aa3fd6c71abdc6918a","41.48.16.87","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","656c8bf46599eb729c0ade1c","686d226cabeef709c732f8e1","686e312712d25ed0087b7dab","656c8bf46599eb729c0ade1c","2025-07-09T09:09:00.729Z","","",""
"33370","","","","instructions","1","53446","0.0-1.0","84","1","2025-07-09 09:07:38","7701e855f2ef39aa3fd6c71abdc6918a","41.48.16.87","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","656c8bf46599eb729c0ade1c","686d226cabeef709c732f8e1","686e312712d25ed0087b7dab","656c8bf46599eb729c0ade1c","","[{""page_index"":0,""viewing_time"":28615},{""page_index"":1,""viewing_time"":4750}]","",""
"13875","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","67351","0.0-2.0","84","1","2025-07-09 09:07:38","7701e855f2ef39aa3fd6c71abdc6918a","41.48.16.87","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","656c8bf46599eb729c0ade1c","686d226cabeef709c732f8e1","686e312712d25ed0087b7dab","656c8bf46599eb729c0ade1c","","","[0,1,2,3,4,5,6]","true"
