"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent"
"2223","1752055607734","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","2226","0.0-0.0","256","1","2025-07-09 10:06:45","7701e855f2ef39aa3fd6c71abdc6918a","102.223.58.62","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60e703e4908998ebc5679e8a","686d226cabeef709c732f8e1","686e314a24aec0612904335a","60e703e4908998ebc5679e8a","2025-07-09T10:06:47.736Z","","",""
"18277","","","","instructions","1","20505","0.0-1.0","256","1","2025-07-09 10:06:45","7701e855f2ef39aa3fd6c71abdc6918a","102.223.58.62","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60e703e4908998ebc5679e8a","686d226cabeef709c732f8e1","686e314a24aec0612904335a","60e703e4908998ebc5679e8a","","[{""page_index"":0,""viewing_time"":17585},{""page_index"":1,""viewing_time"":691}]","",""
"4752","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","25261","0.0-2.0","256","1","2025-07-09 10:06:45","7701e855f2ef39aa3fd6c71abdc6918a","102.223.58.62","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60e703e4908998ebc5679e8a","686d226cabeef709c732f8e1","686e314a24aec0612904335a","60e703e4908998ebc5679e8a","","","[0,1,2,3,4,5,6]","true"
