"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success"
"1872","1752056685253","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","1884","0.0-0.0","264","1","2025-07-09 10:24:42","7701e855f2ef39aa3fd6c71abdc6918a","197.185.177.52","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36","WebKit","Chrome","138.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,gl;q=0.6,zu;q=0.5","66897958f4e99d36b4091abe","686d226cabeef709c732f8e1","686e338c97cddf108604d1a2","66897958f4e99d36b4091abe","2025-07-09T10:24:45.263Z","","","",""
"3853","","","","instructions","1","5741","0.0-1.0","264","1","2025-07-09 10:24:42","7701e855f2ef39aa3fd6c71abdc6918a","197.185.177.52","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36","WebKit","Chrome","138.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,gl;q=0.6,zu;q=0.5","66897958f4e99d36b4091abe","686d226cabeef709c732f8e1","686e338c97cddf108604d1a2","66897958f4e99d36b4091abe","","[{""page_index"":0,""viewing_time"":2715},{""page_index"":1,""viewing_time"":1136}]","","",""
"2827","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","8574","0.0-2.0","264","1","2025-07-09 10:24:42","7701e855f2ef39aa3fd6c71abdc6918a","197.185.177.52","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36","WebKit","Chrome","138.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,gl;q=0.6,zu;q=0.5","66897958f4e99d36b4091abe","686d226cabeef709c732f8e1","686e338c97cddf108604d1a2","66897958f4e99d36b4091abe","","","[0,1,2,3,4,5,6]","true",""
"916","","","","fullscreen","3","10496","0.0-4.0","264","1","2025-07-09 10:24:42","7701e855f2ef39aa3fd6c71abdc6918a","197.185.177.52","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36","WebKit","Chrome","138.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,gl;q=0.6,zu;q=0.5","66897958f4e99d36b4091abe","686d226cabeef709c732f8e1","686e338c97cddf108604d1a2","66897958f4e99d36b4091abe","","","","","true"
"928","1752056694806"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","11429","0.0-5.0","264","1","2025-07-09 10:24:42","7701e855f2ef39aa3fd6c71abdc6918a","197.185.177.52","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36","WebKit","Chrome","138.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,gl;q=0.6,zu;q=0.5","66897958f4e99d36b4091abe","686d226cabeef709c732f8e1","686e338c97cddf108604d1a2","66897958f4e99d36b4091abe","2025-07-09T10:24:54.808Z","","","",""
