"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success"
"17460","1751454778885","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","17461","0.0-0.0","227","1","2025-07-02 11:12:40","80fe4187154257d5fb01684ea91b68b9","66.196.62.74","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","null","en-US,en;q=0.9","675fdfa82498861bae3df7b6","683db6dfa200031b80f2a654","68650791ab43f39135608845","675fdfa82498861bae3df7b6","2025-07-02T11:12:58.886Z","","","",""
"29680","","","","instructions","1","47143","0.0-1.0","227","1","2025-07-02 11:12:40","80fe4187154257d5fb01684ea91b68b9","66.196.62.74","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","null","en-US,en;q=0.9","675fdfa82498861bae3df7b6","683db6dfa200031b80f2a654","68650791ab43f39135608845","675fdfa82498861bae3df7b6","","[{""page_index"":0,""viewing_time"":3465},{""page_index"":1,""viewing_time"":26215}]","","",""
"3626","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","50770","0.0-2.0","227","1","2025-07-02 11:12:40","80fe4187154257d5fb01684ea91b68b9","66.196.62.74","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","null","en-US,en;q=0.9","675fdfa82498861bae3df7b6","683db6dfa200031b80f2a654","68650791ab43f39135608845","675fdfa82498861bae3df7b6","","","[0,1,2,3,4,5,6]","true",""
"2004","","","","fullscreen","3","53776","0.0-4.0","227","1","2025-07-02 11:12:40","80fe4187154257d5fb01684ea91b68b9","66.196.62.74","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","null","en-US,en;q=0.9","675fdfa82498861bae3df7b6","683db6dfa200031b80f2a654","68650791ab43f39135608845","675fdfa82498861bae3df7b6","","","","","true"
