"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"5798","1751459709957","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","5827","0.0-0.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","2025-07-02T12:35:09.960Z","","","","","",""
"7864","","","","instructions","1","13720","0.0-1.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","[{""page_index"":0,""viewing_time"":6480},{""page_index"":1,""viewing_time"":1383}]","","","","",""
"10398","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","24163","0.0-2.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","[0,1,2,3,4,5,6]","true","","",""
"2416","","","","fullscreen","3","27623","0.0-4.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","","","true","",""
"3963","1751459735718"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","31587","0.0-5.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","2025-07-02T12:35:35.719Z","","","","","",""
"7236","","","{""age"":""32""}","survey-text","5","38839","0.0-6.0-0.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","","","","0","demographics"
"4977","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","43823","0.0-6.0-1.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","[0]","","","1","demographics"
"3541","","","{""assigned_sex"":""female""}","survey-multi-choice","7","47369","0.0-6.0-2.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","[0]","","","2","demographics"
"5216","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","52589","0.0-6.0-3.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","[0]","","","4","demographics"
"9763","","","{""education"":""Doctoral Degree (e.g., PhD)""}","survey-multi-choice","9","62357","0.0-6.0-4.0","253","1","2025-07-02 12:35:02","80fe4187154257d5fb01684ea91b68b9","105.1.230.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67f7935fdb24bf8465f4dfa6","683db6dfa200031b80f2a654","686507588aa5dd9bc054b4a3","67f7935fdb24bf8465f4dfa6","","","[0]","","","5","demographics"
