"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","jspsych-survey-multi-choice-response-6","prolific_id","realtime","view_history"
"10342","1751454396664","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","10343","0.0-0.0","220","1","2025-07-02 11:06:25","80fe4187154257d5fb01684ea91b68b9","84.15.217.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://amwindsazl.cognition.run/?PROLIFIC_PID=66d31c165906311ab403cab6&STUDY_ID=683db6dfa200031b80f2a654&SESSION_ID=68650767dfc1c2f120f59fbd","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7,lt;q=0.6,be;q=0.5,jv;q=0.4,ja;q=0.3","I agree","","2025-07-02T11:06:36.665Z",""
"7322","","","","instructions","1","17666","0.0-1.0","220","1","2025-07-02 11:06:25","80fe4187154257d5fb01684ea91b68b9","84.15.217.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://amwindsazl.cognition.run/?PROLIFIC_PID=66d31c165906311ab403cab6&STUDY_ID=683db6dfa200031b80f2a654&SESSION_ID=68650767dfc1c2f120f59fbd","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7,lt;q=0.6,be;q=0.5,jv;q=0.4,ja;q=0.3","I agree","","","[{""page_index"":0,""viewing_time"":6396},{""page_index"":1,""viewing_time"":926}]"
