"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"22594","1752052506651","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","22597","0.0-0.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:15:06.652Z","","","","","",""
"4061","","","","instructions","1","26659","0.0-1.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","[{""page_index"":0,""viewing_time"":2852},{""page_index"":1,""viewing_time"":1209}]","","","","",""
"2828","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","29489","0.0-2.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0,1,2,3,4,5,6]","true","","",""
"2075","","","","fullscreen","3","32582","0.0-4.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","","","true","",""
"325047","1752052841685"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","357631","0.0-5.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:20:41.686Z","","","","","",""
"4428","","","{""age"":""32""}","survey-text","5","362064","0.0-6.0-0.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","","","","0","demographics"
"2785","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","364852","0.0-6.0-1.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","1","demographics"
"3210","","","{""assigned_sex"":""female""}","survey-multi-choice","7","368064","0.0-6.0-2.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","2","demographics"
"5862","","","{""menstrual_cycle"":""Rather not tell""}","survey-multi-choice","8","373927","0.0-6.0-3.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","4","demographics"
"10237","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","9","384166","0.0-6.0-4.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","5","demographics"
"4849","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","10","389017","0.0-6.0-5.0","188","1","2025-07-09 09:14:37","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:21:13.072Z","","[0]","","","6","demographics"
