"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history"
"15801","1751451561860","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","15805","0.0-0.0","77","1","2025-07-02 10:19:04","80fe4187154257d5fb01684ea91b68b9","188.146.28.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5c5895f5af5bed0001f9ee92","683db6dfa200031b80f2a654","686507633de58f8a0518170f","5c5895f5af5bed0001f9ee92","2025-07-02T10:19:21.861Z",""
"189697","","","","instructions","1","205503","0.0-1.0","77","1","2025-07-02 10:19:04","80fe4187154257d5fb01684ea91b68b9","188.146.28.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5c5895f5af5bed0001f9ee92","683db6dfa200031b80f2a654","686507633de58f8a0518170f","5c5895f5af5bed0001f9ee92","","[{""page_index"":0,""viewing_time"":168470},{""page_index"":1,""viewing_time"":21226}]"
